unique_code,make_slug,make_name,model_slug,model_name,year,trim_slug,trim_name,variant_slug,variant_name,vehicle_type,drivetrain,system_power_kw,system_torque_nm,battery_capacity_gross_kwh,battery_capacity_net_kwh,battery_chemistry,dc_max_power_kw,ac_max_power_kw,range_wltp_km,range_epa_km,acceleration_0_100_s,top_speed_kmh,charge_connectors,sources
audi:a6_e_tron:2024:a6_e_tron,audi,Audi,a6_e_tron,A6 e-tron,2024,base,Base,sportback,Sportback,PassengerCar,Rwd,350,550,100,94.9,li-ion,270,11,700,,4.5,209,Ccs2,https://www.audi.com
audi:a6_e_tron:2024:a6_e_tron_avant,audi,Audi,a6_e_tron,A6 e-tron,2024,base,Base,avant,Avant,PassengerCar,Rwd,350,550,100,94.9,li-ion,270,11,700,,4.5,209,Ccs2,https://www.audi.com
audi:a6_e_tron:2025:a6_e_tron,audi,Audi,a6_e_tron,A6 e-tron,2025,base,Base,sportback,Sportback,PassengerCar,Rwd,350,550,100,94.9,li-ion,270,11,700,,4.5,209,Ccs2,https://www.audi.com
audi:a6_e_tron:2025:a6_e_tron_avant,audi,Audi,a6_e_tron,A6 e-tron,2025,base,Base,avant,Avant,PassengerCar,Rwd,350,550,100,94.9,li-ion,270,11,700,,4.5,209,Ccs2,https://www.audi.com
audi:e_tron_gt:2023:e_tron_gt,audi,Audi,e_tron_gt,e-tron GT,2023,quattro,quattro,,,PassengerCar,Awd,390,630,93.4,85,li-ion,270,11,488,383,4.1,245,Ccs2,https://www.audi.com
audi:e_tron_gt:2023:e_tron_gt_rs,audi,Audi,e_tron_gt,e-tron GT,2023,rs,RS,rs,RS,PassengerCar,Awd,440,830,93.4,85,li-ion,270,11,472,370,3.3,250,Ccs2,https://www.audi.com
audi:e_tron_gt:2024:e_tron_gt,audi,Audi,e_tron_gt,e-tron GT,2024,quattro,quattro,,,PassengerCar,Awd,390,630,93.4,85,li-ion,270,11,488,383,4.1,245,Ccs2,https://www.audi.com
audi:e_tron_gt:2024:e_tron_gt_rs,audi,Audi,e_tron_gt,e-tron GT,2024,rs,RS,rs,RS,PassengerCar,Awd,440,830,93.4,85,li-ion,270,11,472,370,3.3,250,Ccs2,https://www.audi.com
audi:e_tron_gt:2025:e_tron_gt,audi,Audi,e_tron_gt,e-tron GT,2025,quattro,quattro,,,PassengerCar,Awd,390,630,93.4,85,li-ion,270,11,488,383,4.1,245,Ccs2,https://www.audi.com
audi:e_tron_gt:2025:e_tron_gt_rs,audi,Audi,e_tron_gt,e-tron GT,2025,rs,RS,rs,RS,PassengerCar,Awd,440,830,93.4,85,li-ion,270,11,472,370,3.3,250,Ccs2,https://www.audi.com
audi:q4_e_tron:2023:q4_e_tron,audi,Audi,q4_e_tron,Q4 e-tron,2023,40,40,,,Suv,Rwd,125,310,52,48,li-ion,125,11,341,,9,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2023:q4_e_tron_sportback,audi,Audi,q4_e_tron,Q4 e-tron,2023,40,40,sportback,Sportback,Suv,Rwd,125,310,52,48,li-ion,125,11,349,,9,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2023:q4_e_tron_50,audi,Audi,q4_e_tron,Q4 e-tron,2023,50,50,,,Suv,Rwd,150,310,77,73,li-ion,125,11,520,400,8.5,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2023:q4_e_tron_sportback_50,audi,Audi,q4_e_tron,Q4 e-tron,2023,50,50,sportback,Sportback,Suv,Rwd,150,310,77,73,li-ion,125,11,534,410,8.5,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2023:q4_e_tron_sportback_quattro,audi,Audi,q4_e_tron,Q4 e-tron,2023,quattro,quattro,sportback,Sportback,Suv,Awd,220,460,77,73,li-ion,125,11,502,385,6.2,180,Ccs2,https://www.audi.com
audi:q4_e_tron:2023:q4_e_tron_quattro,audi,Audi,q4_e_tron,Q4 e-tron,2023,quattro,quattro,,,Suv,Awd,220,460,77,73,li-ion,125,11,488,375,6.2,180,Ccs2,https://www.audi.com
audi:q4_e_tron:2024:q4_e_tron,audi,Audi,q4_e_tron,Q4 e-tron,2024,40,40,,,Suv,Rwd,125,310,52,48,li-ion,125,11,341,,9,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2024:q4_e_tron_sportback,audi,Audi,q4_e_tron,Q4 e-tron,2024,40,40,sportback,Sportback,Suv,Rwd,125,310,52,48,li-ion,125,11,349,,9,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2024:q4_e_tron_50,audi,Audi,q4_e_tron,Q4 e-tron,2024,50,50,,,Suv,Rwd,150,310,77,73,li-ion,125,11,520,400,8.5,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2024:q4_e_tron_sportback_50,audi,Audi,q4_e_tron,Q4 e-tron,2024,50,50,sportback,Sportback,Suv,Rwd,150,310,77,73,li-ion,125,11,534,410,8.5,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2024:q4_e_tron_sportback_quattro,audi,Audi,q4_e_tron,Q4 e-tron,2024,quattro,quattro,sportback,Sportback,Suv,Awd,220,460,77,73,li-ion,125,11,502,385,6.2,180,Ccs2,https://www.audi.com
audi:q4_e_tron:2024:q4_e_tron_quattro,audi,Audi,q4_e_tron,Q4 e-tron,2024,quattro,quattro,,,Suv,Awd,220,460,77,73,li-ion,125,11,488,375,6.2,180,Ccs2,https://www.audi.com
audi:q4_e_tron:2025:q4_e_tron,audi,Audi,q4_e_tron,Q4 e-tron,2025,40,40,,,Suv,Rwd,125,310,52,48,li-ion,125,11,341,,9,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2025:q4_e_tron_sportback,audi,Audi,q4_e_tron,Q4 e-tron,2025,40,40,sportback,Sportback,Suv,Rwd,125,310,52,48,li-ion,125,11,349,,9,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2025:q4_e_tron_50,audi,Audi,q4_e_tron,Q4 e-tron,2025,50,50,,,Suv,Rwd,150,310,77,73,li-ion,125,11,520,400,8.5,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2025:q4_e_tron_sportback_50,audi,Audi,q4_e_tron,Q4 e-tron,2025,50,50,sportback,Sportback,Suv,Rwd,150,310,77,73,li-ion,125,11,534,410,8.5,160,Ccs2,https://www.audi.com
audi:q4_e_tron:2025:q4_e_tron_sportback_quattro,audi,Audi,q4_e_tron,Q4 e-tron,2025,quattro,quattro,sportback,Sportback,Suv,Awd,220,460,77,73,li-ion,125,11,502,385,6.2,180,Ccs2,https://www.audi.com
